model,score
"Neural Network(MinMaxScaler,SMOTEENN)",0.742320819112628
"Naive Bayes(MinMaxScaler,SMOTEENN)",0.7360637087599545
"RandomForest(MinMaxScaler,SMOTEENN)",0.7309442548350398
"ExtraTreesClassifier(MinMaxScaler,SMOTEENN)",0.7292377701934016
"XGB(MinMaxScaler,SMOTEENN)",0.7286689419795221
"LogisticRegression(MinMaxScaler,SMOTEENN)",0.726962457337884
"SVM(MinMaxScaler,SMOTEENN)",0.7258248009101251
"CatBoost(MinMaxScaler,SMOTEENN)",0.7246871444823664
"GradientBoostingClassifier(MinMaxScaler,SMOTEENN)",0.7218430034129693
"MultinomialNB(MinMaxScaler,SMOTEENN)",0.717292377701934
"AdaBoostClassifier(MinMaxScaler,SMOTEENN)",0.7087599544937428
"DecisionTree(MinMaxScaler,SMOTEENN)",0.7076222980659841
"KNeighbours(MinMaxScaler,SMOTEENN)",0.6831626848691695
