model,score
Neural Network(SMOTEENN),0.7844141069397043
Naive Bayes(SMOTEENN),0.7753128555176336
LogisticRegression(SMOTEENN),0.7736063708759955
ExtraTreesClassifier(SMOTEENN),0.7662116040955631
AdaBoostClassifier(SMOTEENN),0.7627986348122867
RandomForest(SMOTEENN),0.7559726962457338
GradientBoostingClassifier(SMOTEENN),0.7559726962457338
CatBoost(SMOTEENN),0.7542662116040956
XGB(SMOTEENN),0.7480091012514221
DecisionTree(SMOTEENN),0.7394766780432309
KNeighbours(SMOTEENN),0.7161547212741752
SVM(SMOTEENN),0.7036405005688282
MultinomialNB(SMOTEENN),0.6729237770193401
